IRL,2,0,EST,1,
PBA,4,0,BLR,1,
ISR,1,1,SVN,0,
MDN,3,1,LTT,1,
ATC,0,1,PLG,2,
KZK,3,0,ECS,1,
CPR,5,0,SMR,1,
BLG,3,1,RSS,1,
SVQ,2,0,HGR,1,
CRT,2,1,AZJ,1,
MOL,1,4,FRA,2,
BUL,1,1,MON,0,
ANG,5,0,TCH,1,
AND,0,2,ISL,2,
ALB,0,2,TRK,2,
POR,0,0,UKR,0,
LUX,2,1,LIT,1,
GRG,0,2,SUI,2,
SUE,2,1,RMN,1,
MLT,2,1,FRE,1,
ESP,2,1,NVG,1,
GBL,0,1,RIR,2,
LCH,0,2,GRC,2,
ITL,2,0,FLD,1,
BHV,2,1,ARM,1,
KZK,0,4,RSS,2,
ISR,4,2,ATC,1,
SVN,1,1,MDN,0,
PNG,2,0,LTT,1,
SMR,0,2,ECS,2,
CPR,0,2,BLG,2,
IRL,2,1,BLR,1,
PDG,1,0,SVQ,1,
HGR,2,1,CRT,1,
PBA,2,3,ALL,2,
MON,1,5,ANG,2,
KOS,1,1,BUL,0,
POR,1,1,SER,0,
LUX,1,2,UKR,2,
TRK,4,0,MOL,1,
FRA,4,0,ISL,1,
AND,0,3,ALB,2,
SUI,3,3,DAN,0,
RMN,4,1,FRE,1,
ARM,0,2,FLD,2,
ATL,6,0,LCH,1,
BHV,2,2,GRC,0,
NVG,3,3,SUE,0,
MLT,0,2,ESP,2,
RIR,1,0,GRG,1,
MON,1,1,KOS,0,
TCH,2,1,BUL,1,
UKR,5,0,SER,1,
LIT,1,1,LUX,0,
GRG,3,0,GBL,1,
SUE,3,0,MLT,1,
NVG,2,2,RMN,0,
FRE,1,4,ESP,2,
DAN,1,1,RIR,0,
LTT,0,3,ISR,2,
MDN,0,1,PLG,2,
ATC,1,0,SVN,1,
RSS,9,0,SMR,1,
ECS,2,1,CPR,1,
FLD,2,0,BHV,1,
ARM,3,0,LCH,1,
GRC,0,3,ITL,2,
BLG,3,0,KZK,1,
ISL,1,0,ALB,1,
MOL,1,0,AND,1,
EST,1,2,IRL,2,
BLR,0,2,ALL,2,
CRT,2,1,PDG,1,
AZJ,1,3,HGR,2,
TRK,2,0,FRA,1,
UKR,1,0,LUX,1,
RIR,2,0,GBL,1,
ESP,3,0,SUE,1,
MLT,0,4,RMN,2,
FRE,0,2,NVG,2,
DAN,5,1,GRG,1,
SER,4,1,LIT,1,
TCH,3,0,MON,1,
BUL,2,3,KOS,2,
PLG,4,0,ISR,1,
LTT,0,3,SVN,2,
MDN,1,4,ATC,2,
KZK,4,0,SMR,1,
LCH,0,2,FLD,2,
ITL,2,1,BHV,1,
GRC,2,3,ARM,2,
RSS,1,0,CPR,1,
BLG,3,0,ECS,1,
ISL,2,1,TRK,1,
AZJ,1,5,SVQ,2,
HGR,1,0,PDG,1,
ALL,8,0,EST,1,
BLR,0,1,IRL,2,
AND,0,4,FRA,2,
ALB,2,0,MOL,1,
RIR,1,1,SUI,0,
GBL,0,6,DAN,2,
RMN,1,2,ESP,2,
NVG,2,0,MLT,1,
FRE,0,4,SUE,2,
ARM,1,3,ITL,2,
FLD,1,0,GRC,1,
BHV,5,0,LCH,1,
CPR,1,1,KZK,0,
ISR,1,1,MDN,0,
SVN,2,0,PLG,1,
ATC,6,0,LTT,1,
ECS,1,2,RSS,2,
SMR,0,4,BLG,2,
est,1,2,BLR,2,
PDG,2,1,AZJ,1,
SVQ,0,4,CRT,2,
ALL,2,4,PBA,2,
ISL,3,0,MOL,1,
TRK,1,0,AND,1,
FRA,4,1,ALB,1,
KOS,2,1,TCH,1,
ANG,4,0,BUL,1,
LIT,0,3,UKR,2,
SER,2,4,POR,2,
SUI,4,0,GBL,1,
RMN,1,0,MLT,1,
SUE,1,1,NVG,0,
ESP,4,0,FRE,1,
GRG,0,0,DAN,0,
ARM,4,2,BHV,1,
JRC,1,1,LCH,0,
FLD,1,2,ITL,2,
ECS,0,4,BLG,2,
SMR,0,4,CPR,2,
SVN,3,2,ISR,1,
PLG,0,0,ATC,0,
LTT,0,2,MDN,2,
RSS,1,0,KZK,1,
IRL,0,2,ALL,2,
AZJ,1,1,CRT,0,
HGR,1,2,SVQ,2,
EST,0,4,PBA,2,
MOL,0,4,TRK,2,
FRA,3,0,AND,1,
MON,0,3,TCH,2,
ANG,5,3,KOS,1,
ALB,4,2,ISL,1,
LUX,1,3,SER,2,
LIT,1,5,POR,2,
BLR,0,0,EST,0,
SVQ,1,1,PDG,0,
CRT,3,0,HGR,1,
KZK,1,2,CPR,2,
RSS,4,0,ECS,1,
LTT,0,3,PLG,2,
MDN,2,1,SVN,1,
ATC,3,1,ISR,1,
BLG,9,0,SMR,1,
PBA,3,1,IRL,1,
TRK,1,0,ALB,1,
ISL,0,1,FRA,2,
MON,0,0,BUL,0,
TCH,2,1,ANG,1,
AND,1,0,MOL,1,
UKR,2,0,LIT,1,
POR,3,0,LUX,1,
GRG,0,0,RIR,0,
FRE,0,3,RMN,2,
NVG,1,1,ESP,0,
MLT,0,4,SUE,2,
DAN,1,0,SUI,1,
BHV,4,1,FLD,1,
LCH,1,1,ARM,0,
ITL,2,0,GRC,1,
KZK,0,2,BLG,2,
ECS,6,0,SMR,1,
SVN,0,1,ATC,2,
PLG,2,0,MDN,1,
ISR,3,1,ALT,1,
CPR,0,5,RSS,2,
BLR,1,2,PBA,2,
HGR,1,0,AZJ,1,
PDG,1,1,CRT,0,
EST,0,3,ALL,2,
MOL,0,4,ALB,2,
KOS,2,0,MON,1,
BUL,0,6,ANG,2,
ISL,2,0,AND,1,
FRA,1,1,TRK,0,
UKR,2,1,POR,1,
LIT,1,2,SER,2,
SUI,2,0,RIR,1,
SUE,1,1,ESP,0,
RMN,1,1,NVG,0,
FRE,1,0,MLT,1,
GBL,2,3,GRG,2,
FLD,3,0,ARM,1,
LCH,0,5,ITL,2,
GRC,2,1,BHV,1,
TRK,0,0,ISL,0,
FRA,2,1,MOL,1,
ANG,7,0,MON,1,
TCH,2,1,KOS,1,
ALB,2,2,AND,0,
SER,3,2,LUX,1,
POR,6,0,LIT,1,
SUI,1,0,GRG,1,
NVG,4,0,FRE,1,
ESP,7,0,MLT,1,
RMN,0,2,SUE,2,
DAN,6,0,GBL,1,
FLD,3,0,LCH,1,
ARM,0,1,GRC,2,
BHV,0,3,ITL,2,
CPR,1,2,ECS,2,
SMR,1,3,KZK,2,
SNV,1,0,ALT,1,
ISR,1,2,PLG,2,
ATC,2,1,MDN,1,
RSS,1,4,BLG,2,
IRL,0,0,PBA,0,
AZJ,0,2,PDG,2,
CRT,3,1,SVQ,1,
ALL,4,0,BLR,1,
SER,2,2,UKR,0,
LUX,0,2,POR,2,
MOL,1,2,ISL,2,
AND,0,2,TRK,2,
ALB,0,2,FRA,2,
KOS,0,4,ANG,2,
BUL,1,0,TCH,1,
RIR,1,1,DAN,0,
SUE,3,0,FRE,1,
ESP,5,0,RMN,1,
MLT,1,2,NVG,2,
GBL,1,6,SUI,2,
LCH,0,3,BHV,2,
ITL,9,1,ARM,1,
GRC,2,2,FLD,0,
BLG,6,1,CPR,1,
SMR,0,5,RSS,2,
PLG,3,2,SVN,1,
LTT,1,0,ATC,1,
MDN,1,0,ISR,1,
ECS,3,1,KZK,1,
PBA,5,0,EST,1,
ALL,6,1,IRL,1,
PDG,2,0,HGR,1,
SVQ,2,0,AZJ,1,
